Feature,Importance_Score
previous_loan_defaults_on_file_Yes,0.89083916
person_home_ownership_OWN,0.025521846
person_home_ownership_RENT,0.022226416
loan_intent_VENTURE,0.00794567
person_income,0.007127074
loan_intent_EDUCATION,0.0060416237
loan_intent_PERSONAL,0.004993794
loan_intent_HOMEIMPROVEMENT,0.0049581397
loan_intent_MEDICAL,0.0046701096
credit_score,0.0029776886
person_age,0.0025729835
Income_per_Emp_Year,0.002376817
Credit_History_per_Age,0.0022193529
person_home_ownership_OTHER,0.0020999282
person_education_Master,0.00206377
cb_person_cred_hist_length,0.0020278753
person_education_Bachelor,0.0019618873
person_education_High School,0.0019404643
person_emp_exp,0.001925623
person_gender_male,0.0017889532
person_education_Doctorate,0.001720806
