False_Positive_Rate,True_Positive_Rate
0.0,0.0
0.0,0.0005
0.0,0.0275
0.00014285714285714287,0.0275
0.00014285714285714287,0.0365
0.00014285714285714287,0.0375
0.00014285714285714287,0.0505
0.00028571428571428574,0.0505
0.00028571428571428574,0.0705
0.00042857142857142855,0.0705
0.00042857142857142855,0.0715
0.00042857142857142855,0.0745
0.0005714285714285715,0.0745
0.0005714285714285715,0.0835
0.0007142857142857143,0.0835
0.0007142857142857143,0.084
0.0008571428571428571,0.084
0.0008571428571428571,0.089
0.001,0.089
0.001,0.0945
0.001142857142857143,0.0945
0.001142857142857143,0.1035
0.0012857142857142856,0.1035
0.0012857142857142856,0.1055
0.0014285714285714286,0.1055
0.0014285714285714286,0.109
0.0015714285714285715,0.109
0.0015714285714285715,0.112
0.0017142857142857142,0.112
0.0017142857142857142,0.115
0.0018571428571428571,0.115
0.0018571428571428571,0.12
0.002,0.12
0.002,0.132
0.002285714285714286,0.132
0.002285714285714286,0.1365
0.0024285714285714284,0.1365
0.0024285714285714284,0.1465
0.0025714285714285713,0.1465
0.0025714285714285713,0.147
0.0027142857142857142,0.147
0.0027142857142857142,0.1475
0.002857142857142857,0.1475
0.002857142857142857,0.159
0.003,0.159
0.003,0.165
0.003142857142857143,0.165
0.003142857142857143,0.1665
0.003285714285714286,0.1665
0.003285714285714286,0.17
0.0034285714285714284,0.17
0.0034285714285714284,0.171
0.0035714285714285713,0.171
0.0035714285714285713,0.1725
0.0037142857142857142,0.1725
0.0037142857142857142,0.1745
0.003857142857142857,0.1745
0.003857142857142857,0.1845
0.004142857142857143,0.1845
0.004142857142857143,0.1885
0.004285714285714286,0.1885
0.004285714285714286,0.193
0.004428571428571428,0.193
0.004428571428571428,0.194
0.004571428571428572,0.194
0.004571428571428572,0.205
0.004714285714285714,0.205
0.004714285714285714,0.206
0.004857142857142857,0.206
0.004857142857142857,0.2065
0.005,0.2065
0.005,0.2105
0.005142857142857143,0.2105
0.005142857142857143,0.2165
0.005285714285714286,0.2165
0.005285714285714286,0.2205
0.0054285714285714284,0.2205
0.0054285714285714284,0.222
0.005571428571428572,0.222
0.005571428571428572,0.2235
0.005714285714285714,0.2235
0.005714285714285714,0.2315
0.005857142857142857,0.2315
0.005857142857142857,0.235
0.006142857142857143,0.235
0.006142857142857143,0.236
0.006285714285714286,0.236
0.006285714285714286,0.237
0.006571428571428572,0.237
0.006571428571428572,0.2385
0.006714285714285714,0.2385
0.006714285714285714,0.241
0.006857142857142857,0.241
0.006857142857142857,0.2425
0.007,0.2425
0.007,0.244
0.007142857142857143,0.244
0.007142857142857143,0.249
0.007285714285714286,0.249
0.007285714285714286,0.254
0.007571428571428572,0.254
0.007571428571428572,0.2545
0.007714285714285714,0.2545
0.007714285714285714,0.2565
0.007857142857142858,0.2565
0.007857142857142858,0.258
0.008,0.258
0.008,0.259
0.008285714285714285,0.259
0.008285714285714285,0.2615
0.00842857142857143,0.2615
0.00842857142857143,0.2625
0.008571428571428572,0.2625
